callsign	flight_id	datetime	adep	ades	aircraft	dep_time	arr_time	last_known	latitude	longitude	altitude	speed	heading
UAL951	22382233	2025-04-26 10:54	EBBR	KIAD	B77W	2025-04-26 10:54	2025-04-26 18:56	2025-04-26 19:01z	38.94582	-77.44091	308	0	216
SWR5MK	22382384	2025-04-26 11:03	EBBR	KDTW	B77W	2025-04-26 11:03	N/A	2025-04-26 19:31z	42.20086	-83.34847	658	121	23
BVR11C	22382390	2025-04-26 11:21	EBBR	KBOS	CL60	2025-04-26 11:21	N/A	2025-04-26 19:29z	42.96201	-71.2043	5957	222	317
BOX2288	22382603	2025-04-26 11:09	EBBR	KPHX	B77L	2025-04-26 11:09	N/A	2025-04-26 17:33z	44.3853	-67.24833	33979	428	260
DFR1	22382715	2025-04-26 11:02	EBBR	KMIA	B772	2025-04-26 11:02	N/A	2025-04-26 11:29z	49.07397	1.95473	35155	413	245
BOX25L	22382735	2025-04-26 11:27	EBBR	KORD	B77L	2025-04-26 11:27	2025-04-26 20:20	2025-04-26 20:23z	41.99451	-87.89371	675	8	179
OCN30E	22382750	2025-04-26 11:21	EBBR	KMCO	A359	2025-04-26 11:21	N/A	2025-04-26 15:49z	46.80221	-42.93418	37312	473	264
EDW477	22382842	2025-04-26 10:52	EBBR	KBOS	A359	2025-04-26 10:52	N/A	2025-04-26 16:29z	45.35808	-55.44022	37131	432	259
UAL902	22382892	2025-04-26 11:06	EBBR	KORD	B77W	2025-04-26 11:06	2025-04-26 20:00	2025-04-26 20:07z	41.97353	-87.88898	674	0	0
DAL18M	22382947	2025-04-26 11:26	EBBR	KMCO	A359	2025-04-26 11:26	N/A	2025-04-26 14:59z	47.04175	-31.07042	35935	441	268
BEL42L	22382988	2025-04-26 11:05	EBBR	KMCO	A333	2025-04-26 11:05	2025-04-26 21:26	2025-04-26 21:32z	28.43454	-81.3014	107	0	33
UAL1449	22383094	2025-04-26 11:43	EBBR	KMCO	B77W	2025-04-26 11:43	2025-04-26 21:44	2025-04-26 21:46z	28.43285	-81.31721	102	13	62
CKS278	22383282	2025-04-26 11:32	EBBR	KPHX	B77L	2025-04-26 11:32	2025-04-26 23:23	2025-04-26 23:31z	33.43837	-112.00757	1124	7	209
UAL2587	22383291	2025-04-26 11:29	EBBR	KIAD	B77W	2025-04-26 11:29	2025-04-26 19:30	2025-04-26 19:37z	38.9448	-77.44148	307	0	21
UAL989	22383366	2025-04-26 12:31	EBBR	KORD	B77W	2025-04-26 12:31	2025-04-26 21:23	2025-04-26 21:27z	41.97319	-87.89085	674	7	0
BOX448A	22383370	2025-04-26 10:57	EBBR	KORD	B77L	2025-04-26 10:57	2025-04-26 19:43	2025-04-26 19:48z	41.96152	-87.91417	673	2	180
KYE1025	22383433	2025-04-26 11:21	EBBR	KMIA	MD11	2025-04-26 11:21	2025-04-26 22:25	2025-04-26 22:29z	25.79254	-80.29424	31	0	211
BOX428	22383436	2025-04-26 11:25	EBBR	KORD	B77L	2025-04-26 11:25	2025-04-26 20:21	2025-04-26 20:24z	41.96178	-87.91332	675	5	178
SWR24K	22383463	2025-04-26 12:02	EBBR	KMCO	B77W	2025-04-26 12:02	2025-04-26 21:39	2025-04-26 21:50z	28.42634	-81.31226	102	0	327
DAL149	22383565	2025-04-26 11:37	EBBR	KPHX	A359	2025-04-26 11:37	2025-04-26 23:19	2025-04-26 23:29z	33.43834	-111.99456	1133	0	176
UAL900	22383610	2025-04-26 12:05	EBBR	KORD	B77W	2025-04-26 12:05	2025-04-26 20:56	2025-04-26 21:04z	41.9735	-87.89168	674	0	37
DAL312X	22383710	2025-04-26 11:34	EBBR	KDTW	A339	2025-04-26 11:34	2025-04-26 20:15	2025-04-26 20:24z	42.20709	-83.35976	650	0	120
VPBRT	22383787	2025-04-26 11:52	EBBR	KMIA	B737	2025-04-26 11:52	2025-04-26 23:03	2025-04-26 23:07z	25.80529	-80.29019	13	1	178
WAT2675	22383823	2025-04-26 11:23	EBBR	KDTW	B737	2025-04-26 11:23	2025-04-26 20:22	2025-04-26 20:30z	42.22858	-83.34118	645	0	115
AAL92	22383907	2025-04-26 12:50	EBBR	KPHX	B772	2025-04-26 12:50	N/A	2025-04-26 21:41z	40.19234	-88.37473	38312	395	259
BEL501	22383920	2025-04-26 12:22	EBBR	KORD	A339	2025-04-26 12:22	2025-04-26 21:18	2025-04-26 21:24z	41.97329	-87.88812	675	4	3
AIC5416	22384010	2025-04-26 11:40	EBBR	KBOS	B77W	2025-04-26 11:40	2025-04-26 19:24	2025-04-26 19:31z	42.37104	-71.02164	26	0	152
OCN301	22384057	2025-04-26 11:55	EBBR	KMIA	A333	2025-04-26 11:55	N/A	2025-04-26 14:22z	42.7995	-16.5602	39367	414	255
UAL19P	22384067	2025-04-26 12:11	EBBR	KMCO	B77W	2025-04-26 12:11	2025-04-26 22:03	2025-04-26 22:12z	28.42683	-81.3154	99	0	124
DAL44	22384100	2025-04-26 12:33	EBBR	KMCO	A359	2025-04-26 12:33	2025-04-26 22:26	2025-04-26 22:32z	28.4354	-81.31538	101	0	86
AAL36	22384144	2025-04-26 12:35	EBBR	KMIA	A339	2025-04-26 12:35	2025-04-26 22:49	2025-04-26 22:55z	25.79844	-80.27094	27	0	293
BOX438	22384155	2025-04-26 14:31	EBBR	KORD	B77L	2025-04-26 14:31	N/A	2025-04-26 14:40z	51.28635	3.27374	20693	443	282
DLH3CK	22384187	2025-04-26 11:39	EBBR	KBOS	A359	2025-04-26 11:39	2025-04-26 19:11	2025-04-26 19:21z	42.37139	-71.02006	31	0	211
